transaction_id,amount,failure_reason,action,success_probability,expected_revenue,recovered_amount,success
TXN_000001,2971.18,authentication_failed,customer_followup,0.7035892433755588,2090.490288132593,2971.18,1
TXN_000002,1574.57,network_error,retry,0.8666875219727277,1364.6601714725978,0.0,0
TXN_000003,3455.38,insufficient_funds,retry_later,0.7187248557430816,2483.4674920375296,0.0,0
TXN_000004,8291.86,limit_exceeded,alternate_payment,0.698965863683957,5795.727086446456,8291.86,1
TXN_000005,1430.6,card_expired,customer_followup,0.46003645674246935,658.1281550157767,1430.6,1
TXN_000006,1430.62,card_expired,customer_followup,0.30058802228008824,430.0272364343398,1430.62,1
TXN_000007,8771.06,card_expired,customer_followup,0.3561725603912878,3124.0108975456087,8771.06,1
TXN_000008,3894.94,network_error,retry,0.6298492102774127,2453.224883077906,3894.94,1
TXN_000009,1130.62,bank_decline,alternate_payment,0.7418561482860305,838.7573983751518,1130.62,1
TXN_000010,3110.57,authentication_failed,customer_followup,0.3209582106558829,998.3629813198698,0.0,0
TXN_000011,1137.49,insufficient_funds,retry_later,0.7197448999549811,818.7026262497915,1137.49,1
TXN_000012,1134.87,insufficient_funds,retry_later,0.3565927872535426,404.68645647042786,0.0,0
TXN_000013,2302.99,card_expired,customer_followup,0.6924915639545267,1594.8011468716354,2302.99,1
TXN_000014,266.86,limit_exceeded,alternate_payment,0.2459801853619517,65.64227226569044,266.86,1
TXN_000015,322.17,card_expired,customer_followup,0.5070567663164746,163.3584784041786,322.17,1
TXN_000016,1030.41,limit_exceeded,alternate_payment,0.7798272995929729,803.5418477735952,1030.41,1
TXN_000017,656.66,insufficient_funds,retry_later,0.38183241951546004,250.734076599022,656.66,1
TXN_000018,2475.62,authentication_failed,customer_followup,0.25809675346628586,638.9494848162066,2475.62,1
TXN_000019,729.22,insufficient_funds,retry_later,0.27613397925222877,201.36242035031026,729.22,1
TXN_000020,440.41,card_expired,customer_followup,0.37509630967021146,165.19616574185784,440.41,1
TXN_000021,7829.46,card_expired,customer_followup,0.6677931294622425,5228.4595953994485,7829.46,1
TXN_000022,1442.63,network_error,retry,0.8592510593925433,1239.5813558114648,1442.63,1
TXN_000023,1934.35,card_expired,customer_followup,0.3653021247015577,706.6221649164581,1934.35,1
TXN_000024,434.96,network_error,retry_later,0.5861275175238441,254.9420250221712,434.96,1
TXN_000025,1049.03,authentication_failed,customer_followup,0.717328265028542,752.4988698628914,1049.03,1
TXN_000026,2020.14,card_expired,customer_followup,0.8091594252354797,1634.615321295202,2020.14,1
TXN_000027,571.92,card_expired,customer_followup,0.5048859127133121,288.7543511989974,571.92,1
TXN_000028,2632.52,insufficient_funds,retry_later,0.572928951239229,1508.2469227162953,2632.52,1
TXN_000029,991.64,card_expired,customer_followup,0.36886349785427014,365.77979901220846,991.64,1
TXN_000030,1350.6,authentication_failed,customer_followup,0.28374783272345516,383.2298228762985,1350.6,1
TXN_000031,990.58,limit_exceeded,alternate_payment,0.3709781024705026,367.4834887452305,990.58,1
TXN_000032,11525.05,bank_decline,alternate_payment,0.48256156445440523,5561.546158415243,11525.05,1
TXN_000033,1783.8,insufficient_funds,retry_later,0.7626909681737711,1360.4881490283728,1783.8,1
TXN_000034,627.84,authentication_failed,customer_followup,0.20126788061222364,126.3640261635785,0.0,0
TXN_000035,4115.62,network_error,retry_later,0.4623849362144791,1903.0006911830346,0.0,0
TXN_000036,533.34,insufficient_funds,retry_later,0.594350413186731,316.99084936901113,0.0,0
TXN_000037,2228.01,card_expired,customer_followup,0.44160268038608375,983.8951879269986,2228.01,1
TXN_000038,254.76,insufficient_funds,retry_later,0.6481737783139663,165.12875176326605,254.76,1
TXN_000039,479.05,network_error,retry,0.6276965461447386,300.698030430637,479.05,1
TXN_000040,2201.43,limit_exceeded,alternate_payment,0.33212577492873335,731.1516447013614,2201.43,1
TXN_000041,3783.73,bank_decline,alternate_payment,0.6214324960812112,2351.3327783973614,3783.73,1
TXN_000042,2146.02,limit_exceeded,alternate_payment,0.8367453432157642,1795.6722414478943,2146.02,1
TXN_000043,1610.58,card_expired,customer_followup,0.3276660912088204,527.732453179102,1610.58,1
TXN_000044,1337.95,authentication_failed,customer_followup,0.3260014386973228,436.17362490508305,0.0,0
TXN_000045,412.19,bank_decline,alternate_payment,0.5154083404345577,212.44616384372034,412.19,1
TXN_000046,880.21,limit_exceeded,alternate_payment,0.5352595116180499,471.1407747213237,880.21,1
TXN_000047,1140.66,network_error,retry_later,0.6203702537420444,707.6315336334004,1140.66,1
TXN_000048,5203.68,bank_decline,alternate_payment,0.4740084744421388,2466.5884182850687,5203.68,1
TXN_000049,2549.41,authentication_failed,customer_followup,0.675443845860376,1721.983295074901,2549.41,1
TXN_000050,310.12,authentication_failed,customer_followup,0.2900388382498418,89.94684451804093,310.12,1
TXN_000051,2500.09,insufficient_funds,retry_later,0.7922382416119098,1980.6669054715196,0.0,0
TXN_000052,1230.18,bank_decline,alternate_payment,0.44987483954670776,553.427030113569,1230.18,1
TXN_000053,918.81,insufficient_funds,retry_later,0.3896182001341964,357.98509846530095,0.0,0
TXN_000054,3333.16,card_expired,customer_followup,0.46899535528002845,1563.2365584051795,0.0,0
TXN_000055,5069.51,network_error,retry,0.8195904411309071,4154.921937217545,5069.51,1
TXN_000056,4588.37,card_expired,customer_followup,0.6777561057916806,3109.7957831313734,0.0,0
TXN_000057,781.16,authentication_failed,customer_followup,0.26612340686037017,207.88496050304676,781.16,1
TXN_000058,1327.15,authentication_failed,customer_followup,0.6987694781056837,927.3719128679581,1327.15,1
TXN_000059,2518.11,authentication_failed,customer_followup,0.4489576959392053,1130.5248637214725,2518.11,1
TXN_000060,4796.04,authentication_failed,customer_followup,0.30484630454361056,1462.055070443338,4796.04,1
TXN_000061,1119.71,bank_decline,alternate_payment,0.785907821053777,879.9888463121247,1119.71,1
TXN_000062,1501.68,bank_decline,alternate_payment,0.5846204530101944,877.9128418763487,1501.68,1
TXN_000063,598.04,authentication_failed,customer_followup,0.3436289275257939,205.50384381752576,0.0,0
TXN_000064,546.64,limit_exceeded,alternate_payment,0.31868740633004694,174.20728379625686,546.64,1
TXN_000065,4074.59,card_expired,customer_followup,0.3140576549705842,1279.6561803665927,4074.59,1
TXN_000066,7018.05,network_error,retry,0.7483397104327041,5251.885504802239,7018.05,1
TXN_000067,1682.42,network_error,retry,0.8321906263751937,1400.0941536261535,1682.42,1
TXN_000068,4932.16,limit_exceeded,alternate_payment,0.4955623237134718,2444.192670526637,0.0,0
TXN_000069,2595.76,card_expired,customer_followup,0.37429014113499476,971.5673767525741,2595.76,1
TXN_000070,948.5,card_expired,customer_followup,0.3545181925456028,336.2605056295042,0.0,0
TXN_000071,2595.14,card_expired,customer_followup,0.7311727522441925,1897.4956562589937,2595.14,1
TXN_000072,8417.23,limit_exceeded,alternate_payment,0.7960044226313526,6700.1523063053,8417.23,1
TXN_000073,1744.41,network_error,retry,0.8660754211193218,1510.7906253547562,1744.41,1
TXN_000074,8644.2,network_error,retry_later,0.5707120704961945,4933.349279783205,0.0,0
